_id,video_id,video_title,video_description,video_tag,video_length,video_likes,channel_title,__v
67543aa82442a0b834eca2b1,sA-oB0V7-KQ,홈트레이닝 맨몸운동 풀업 딥스 팔굽혀펴기. Home Training Bare Body Exercise Pull Up Dips Push Up.,홈트레이닝 맨몸운동. #홈트레이닝 #맨몸운동 #상체운동.,팔 홈트레이닝 | Arms Home Training,1390,9,강씨아저씨 (Mr. Kang),0
67543aa82442a0b834eca2b2,-h8bHcf2TaI,홈트레이닝 아르니스 Home training martialarts Arnis,,팔 홈트레이닝 | Arms Home Training,23,0,승리tv,0
67543aa82442a0b834eca2b3,_KfTx8rvbpE,9 Best Home Bicep &amp; Tricep Exercises (NO EQUIPMENT),"These are the 5 Best Bicep, Tricep, and Shoulder Exercises that you can do at home without the use of any gym equipment.",팔 홈트레이닝 | Arms Home Training,714,75950,Gravity Transformation - Fat Loss Experts,0
67543aa82442a0b834eca2b4,XvH29lL-FvE,집에서 하는 이두운동 (Home Training Biceps),,팔 홈트레이닝 | Arms Home Training,60,13,철드는남자 (Fe_Male),0
67543aa82442a0b834eca2b5,ol7XmPK1oiQ,#absworkout #복근운동 #홈트레이닝 #hometraining #bodyweightworkout #bodyweighttraining,,팔 홈트레이닝 | Arms Home Training,12,78,찬브로 chanbro,0
67543aa82442a0b834eca2b6,Au36bWlUeB8,2023.09.05 #소도구운동 #홈트 #hometraining #고대운동 #ancientexercise #페르시안밀 #persianmeels #4kg #giri #기리,,팔 홈트레이닝 | Arms Home Training,36,3,Grip_Spin_365,0
67543aa82442a0b834eca2b7,xOfJOQArBes,홈트레이닝 가슴운동 해보기|Home training|Chest workout|,,팔 홈트레이닝 | Arms Home Training,23,6,임엔박,0
67543aa82442a0b834eca2b8,y5rgDuGQp6U,홈 트레이닝 - 팔 굽혀 펴기로 상체 운동.,코로나 바이러스로 체육관에 가지 못하고 여러분도 집에서 많이 홈 트레이닝을 하죠. 화이팅~~!!,팔 홈트레이닝 | Arms Home Training,27,10,Aprende coreano con kim,0
67543aa82442a0b834eca2b9,SZ64LAF6yqg,#소도구운동 #홈트 #고대운동 #클럽벨 #12kg #hometraining #clubbell,,팔 홈트레이닝 | Arms Home Training,42,7,Grip_Spin_365,0
67543aa82442a0b834eca2ba,rp9cieAgSdQ,1#hometraining #absworkout #홈트레이닝 #tabata #홈트레이닝 10분운동!! 다이어트를 하거나 홈트레이닝을 하는 분들 그리고 주변 분들에게 공유해주세요!,,팔 홈트레이닝 | Arms Home Training,45,60,찬브로 chanbro,0
67543aa82442a0b834eca2bb,Zn16fMyuKAI,🔥🔥40대 아저씨 홈트 튜빙밴드 이두운동 Home training for a man in his 40s. Biceps exercise,40대 아저씨 홈트 튜빙밴드 이두운동 Home training for a man in his 40s. Biceps exercise #이두운동 #튜빙밴드 #밴드운동.,팔 홈트레이닝 | Arms Home Training,38,5,강씨아저씨 (Mr. Kang),0
67543aa82442a0b834eca2bc,GfyIQ_3FHwg,#코릴라 #hometraining #pullups #철봉 #홈트 #홈트레이닝 #꾸준히 #풀업,,팔 홈트레이닝 | Arms Home Training,26,3,코릴라,0
67543aa82442a0b834eca2bd,CS0OC24RnGs,#코릴라 #hometraining #pullups #철봉 #홈트 #홈트레이닝 #풀업 #꾸준히,,팔 홈트레이닝 | Arms Home Training,31,2,코릴라,0
67543aa82442a0b834eca2be,_ntMTTqtn24,핏분 신제품 인클라인 벤치 페이지 촬영 중... #shorts #fitboon #핏분 #hometraining #홈트레이닝 #홈트 #인클라인,shorts #fitboon #핏분 #hometraining #홈트레이닝 #홈트 #홈트루틴 #인클라인 #벤치프레스 #한샘 홈트레이닝의 관한 모든 것 [핏분] ...,팔 홈트레이닝 | Arms Home Training,18,0,핏분 FITBOON,0
67543aa82442a0b834eca2bf,I5bjG6uRWWg,TONED ARMS WORKOUT - No Equipment (quick + intense),"Do this 15 minute TONED ARMS workout #WithMe ! it's quick, it's intense, and requires NO EQUIPMENT! This workout is ...",팔 홈트레이닝 | Arms Home Training,1030,41858,MadFit,0
67543aa82442a0b834eca2c0,-5fYy8IquHY,#pullups #hometraining #철봉 #홈트 #홈트레이닝 #풀업 #꾸준히 #코릴라,,팔 홈트레이닝 | Arms Home Training,43,4,코릴라,0
67543aa92442a0b834eca2c2,v1xrOAONfAw,홈트 - 가슴운동 &quot;단! 17분! 보고 따라만 하세요!&quot; [ Home training - Chest ],안녕하세요~! 배관장입니다! 홈트레이닝 가슴편! 단! 17분! 보고 따라만 하세요! 품태권도 김해진영점 경남 김해시 진영읍 본산 ...,가슴 홈트레이닝 | Chest Home Training,1071,14,배관장TAEKWONDO MASTER,0
67543aa92442a0b834eca2c3,AmyeWW1CVuE,가슴상부 약한분UPPER CHEST FOCUSED 홈트 HOME TRAINING 한글자막,가슴 상부 약한 분들 홈트 루틴 UPPER CHEST HOME TRAINING ROUTINE 가슴 상부가 가장 힘이 있을 때 가슴 상부의 운동을 가장 ...,가슴 홈트레이닝 | Chest Home Training,1611,7,JOFITNESS,0
